pelanggan_id,nama_pelanggan,kota,tanggal_daftar,segmen
P00323,Naufal Permana,Bekasi,2024-11-11,Reguler
P00324,Putri Halim,Depok,2023-05-21,Reguler
P00325,Hana Saputra,Jakarta Selatan,2025-08-26,Reguler
P00326,Yanti Gunawan,Semarang,2024-10-03,Reguler
P00327,Adi Gunawan,Surabaya,2023-01-25,Member
P00328,Maya Ramadhan,Yogyakarta,2025-03-31,Member
P00329,Oki Firmansyah,Jakarta Selatan,2024-01-17,Reguler
P00330,Indra Anggraini,Jakarta Selatan,2024-03-17,Member
P00331,Nanda Suryani,Depok,2023-03-12,Reguler
P00332,Rangga Aditya,Tangerang Selatan,2023-06-28,Reguler
P00333,Adi Saputra,Bandung,2023-12-21,Reguler
P00334,Budi Nugroho,Malang,2025-05-30,Member
P00335,Rangga Ramadhan,Bandung,2025-02-13,Reguler
P00336,Zaki Permana,Bandung,2023-03-13,Reguler
P00337,Farah Suryani,Semarang,2024-12-05,Reguler
P00338,Sari Suryani,Bekasi,2023-06-08,Member
P00339,Putri Permana,Jakarta Barat,2024-07-07,Member
P00340,Farah Setiawan,Depok,2024-11-08,Reguler
P00341,Irfan Halim,Depok,2024-06-19,Reguler
P00342,Zaki Wijaya,Semarang,2025-03-22,Reguler
P00343,Kartika Santoso,Bandung,2024-09-09,Reguler
P00344,Citra Aditya,Surabaya,2023-07-06,Reguler
P00345,Maya Setiawan,Surabaya,2024-05-21,Member
P00346,Okta Rahayu,Makassar,2024-04-30,Reguler
P00347,Sari Maulana,Bandung,2025-07-28,Reguler
P00348,Bayu Maulana,Malang,2023-06-15,Member
P00349,Eka Rahayu,Surabaya,2023-11-08,Member
P00350,Irfan Ramadhan,Jakarta Selatan,2024-06-23,Reguler
P00351,Citra Lestari,Bandung,2023-12-23,Reguler
P00352,Yanti Anggraini,Depok,2024-10-04,Reguler
P00353,Bayu Nugroho,Jakarta Selatan,2024-08-29,Reguler
P00354,Kartika Halim,Makassar,2023-08-07,Reguler
P00355,Oki Rahayu,Surabaya,2024-05-25,Reguler
P00356,Putri Santoso,Tangerang Selatan,2024-12-02,Reguler
P00357,Zaki Puspita,Makassar,2025-04-10,Reguler
P00358,Okta Setiawan,Jakarta Barat,2025-08-24,Reguler
P00359,Gita Setiawan,Semarang,2023-11-02,Reguler
P00360,Joko Saputra,Jakarta Selatan,2024-08-12,Reguler
P00361,Okta Santoso,Makassar,2024-08-31,Member
P00362,Gita Wijaya,Denpasar,2023-08-06,Reguler
P00363,Joko Firmansyah,Jakarta Barat,2023-01-24,Reguler
P00364,Eka Lestari,Semarang,2024-01-14,Premium
P00365,Vina Permana,Jakarta Barat,2023-09-16,Premium
P00366,Joko Santoso,Makassar,2023-02-24,Reguler
P00367,Joko Nugroho,Bekasi,2024-06-06,Member
P00368,Tono Setiawan,Semarang,2024-09-03,Premium
P00369,Zaki Santoso,Bandung,2024-09-29,Reguler
P00370,Galih Hartono,Bandung,2025-07-01,Member
P00371,Nanda Hartono,Jakarta Selatan,2024-08-30,Member
P00372,Fajar Ramadhan,Surabaya,2024-09-15,Reguler
P00373,Jihan Gunawan,Jakarta Barat,2024-11-05,Member
P00374,Dian Kusuma,Denpasar,2024-10-21,Reguler
P00375,Nanda Maulana,Bekasi,2024-03-29,Reguler
P00376,Galih Aditya,Bekasi,2024-12-05,Member
P00377,Adi Gunawan,Semarang,2023-12-13,Reguler
P00378,Budi Nugroho,Semarang,2023-08-01,Reguler
P00379,Budi Pratama,Surabaya,2023-02-26,Reguler
P00380,Kirana Aditya,Bekasi,2025-08-04,Premium
P00381,Mila Lestari,Bekasi,2025-01-23,Reguler
P00382,Maya Rahayu,Semarang,2025-09-22,Reguler
P00383,Irfan Setiawan,Jakarta Barat,2023-08-25,Reguler
P00384,Oki Firmansyah,Tangerang Selatan,2024-04-08,Reguler
P00385,Fajar Anggraini,Jakarta Selatan,2023-05-31,Reguler
P00386,Bayu Saputra,Jakarta Barat,2025-06-08,Reguler
P00387,Nanda Suryani,Semarang,2024-09-24,Member
P00388,Lestari Maulana,Jakarta Selatan,2025-03-05,Reguler
P00389,Citra Santoso,Bandung,2023-06-24,Reguler
P00390,Naufal Santoso,Tangerang Selatan,2025-03-31,Reguler
P00391,Citra Anggraini,Surabaya,2024-10-24,Member
P00392,Lestari Gunawan,Malang,2023-12-28,Reguler
P00393,Kirana Firmansyah,Semarang,2023-12-25,Member
P00394,Sari Santoso,Jakarta Selatan,2025-09-07,Reguler
P00395,Adi Saputra,Bandung,2023-08-01,Reguler
P00396,Zaki Nugroho,Bandung,2025-01-30,Premium
P00397,Dian Ramadhan,Yogyakarta,2025-08-15,Reguler
P00398,Eka Suryani,Surabaya,2024-06-28,Reguler
P00399,Sari Wijaya,Jakarta Selatan,2023-09-23,Member
P00400,Galih Halim,Jakarta Selatan,2025-04-15,Member
P00401,Eka Firmansyah,Jakarta Barat,2025-07-23,Member
P00402,Hesti Kusuma,Jakarta Selatan,2024-10-21,Reguler
P00403,Kirana Hartono,Depok,2023-01-16,Member
P00404,Udin Wijaya,Tangerang Selatan,2023-03-30,Reguler
P00405,Indra Setiawan,Malang,2025-08-20,Reguler
P00406,Kartika Pratama,Semarang,2025-08-10,Member
P00407,Bayu Santoso,Bandung,2025-01-12,Reguler
P00408,Maya Saputra,Denpasar,2024-07-18,Member
P00409,Jihan Rahayu,Tangerang Selatan,2024-02-06,Reguler
P00410,Oki Saputra,Jakarta Barat,2024-04-04,Reguler
P00411,Irfan Wijaya,Jakarta Barat,2025-02-06,Reguler
P00412,Yanti Santoso,Jakarta Selatan,2024-08-27,Reguler
P00413,Citra Rahayu,Surabaya,2023-03-26,Member
P00414,Dian Ramadhan,Tangerang Selatan,2024-12-19,Reguler
P00415,Kartika Gunawan,Malang,2024-12-21,Reguler
P00416,Indra Pratama,Surabaya,2024-06-10,Reguler
P00417,Vina Santoso,Denpasar,2024-08-19,Reguler
P00418,Vina Firmansyah,Yogyakarta,2024-04-10,Reguler
P00419,Joko Aditya,Semarang,2025-01-17,Reguler
P00420,Sari Setiawan,Bekasi,2025-06-06,Member
P00421,Gita Suryani,Yogyakarta,2024-07-29,Member
P00422,Okta Lestari,Tangerang Selatan,2024-03-27,Reguler
P00423,Putri Ramadhan,Bandung,2025-08-04,Reguler
P00424,Bayu Wijaya,Yogyakarta,2025-09-26,Reguler
P00425,Galih Santoso,Bandung,2024-05-10,Reguler
P00426,Wahyu Gunawan,Jakarta Selatan,2023-08-25,Reguler
P00427,Lukman Ramadhan,Bandung,2023-06-27,Member
P00428,Citra Maulana,Bekasi,2024-09-16,Premium
P00429,Budi Santoso,Makassar,2025-06-16,Reguler
P00430,Dewi Wijaya,Tangerang Selatan,2024-07-17,Reguler
P00431,Zaki Firmansyah,Semarang,2025-05-03,Reguler
P00432,Maya Halim,Surabaya,2024-12-09,Reguler
P00433,Kartika Maulana,Denpasar,2024-07-24,Reguler
P00434,Adi Gunawan,Bandung,2024-02-02,Member
P00435,Okta Nugroho,Tangerang Selatan,2023-04-15,Member
P00436,Yanti Gunawan,Depok,2024-01-12,Reguler
P00437,Wahyu Pratama,Bekasi,2025-01-02,Premium
P00438,Budi Maulana,Bandung,2024-07-14,Member
P00439,Citra Anggraini,Bekasi,2024-03-25,Premium
P00440,Kirana Gunawan,Bandung,2024-12-25,Reguler
P00441,Naufal Setiawan,Bandung,2025-07-11,Reguler
P00442,Lukman Gunawan,Bandung,2023-09-18,Reguler
P00443,Farah Puspita,Tangerang Selatan,2024-09-11,Reguler
P00444,Fajar Pratama,Tangerang Selatan,2024-06-23,Reguler
P00445,Bayu Santoso,Depok,2025-02-21,Reguler
P00446,Wahyu Firmansyah,Surabaya,2023-01-28,Member
P00447,Dewi Firmansyah,Semarang,2025-05-04,Member
P00448,Citra Gunawan,Tangerang Selatan,2024-09-19,Member
P00449,Putri Wijaya,Jakarta Selatan,2025-06-10,Reguler
P00450,Citra Suryani,Jakarta Selatan,2024-04-21,Member
